Nameserver	IP
dahlia.ns.cloudflare.com	108.162.192.89
dahlia.ns.cloudflare.com	172.64.32.89
dahlia.ns.cloudflare.com	173.245.58.89
daisy.ns.cloudflare.com	108.162.192.90
daisy.ns.cloudflare.com	172.64.32.90
daisy.ns.cloudflare.com	173.245.58.90
dakota.ns.cloudflare.com	108.162.195.79
dakota.ns.cloudflare.com	162.159.44.79
dakota.ns.cloudflare.com	172.64.35.79
dalary.ns.cloudflare.com	108.162.194.220
dalary.ns.cloudflare.com	162.159.38.220
dalary.ns.cloudflare.com	172.64.34.220
dale.ns.cloudflare.com	108.162.193.95
dale.ns.cloudflare.com	172.64.33.95
dale.ns.cloudflare.com	173.245.59.95
damian.ns.cloudflare.com	108.162.195.50
